Distance,Yosemite+National+Park,Grand+Canyon,Redwood+National+Park,Gardiner+MT,Bryce+Canyon,Glacier+National+Park,Badlands+National+Park,Arches+National+Park,Zion+National+Park,Monument+valley+national+park,Acadia+national+park,Congaree+National+Park,Voyageurs+national+park,Cuyahoga+Valley+national+park,Great+Smoky+Mountains+National+Park,Shenandoah+national+park,Mammoth+Cave+national+park,Cape+Cod+national+park,Isle+Royale+national+park,Dry+Tortugas+national+park
Yosemite+National+Park,0,616.18,498.46,996.69,536.73,1116.21,1232.12,716.98,498.42,739.24,3203.02,2532.57,1922.14,2299.65,2327.55,2576.1,2122.39,3020.31,2250.11,3032.37
Grand+Canyon,624.33,0,1102.79,977.57,259.15,1139.44,1025.9,320.45,212.76,157.66,2889.69,2006.6,1772.67,1973.19,1801.58,2129.9,1691.78,2668.58,1970.72,2506.4
Redwood+National+Park,509.07,1095.37,0,1110.1,934.96,939.77,1493.07,1070.62,935.16,1213.51,3463.97,2914.11,2069.5,2560.6,2646.64,2877.38,2423.67,3281.26,2317.03,3520.77
Gardiner+MT,974.93,979.45,1145.96,0,751.82,389.05,544.84,725.95,791.69,868.83,2666.11,2200.66,1031.11,1762.74,1933.19,2132.82,1710.23,2483.4,1278.64,2807.32
Bryce+Canyon,536.95,260.08,934.15,750.85,0,912.72,910.06,256.67,72.32,279.01,2775.17,2152.51,1615.66,1871.8,1885.04,2115.79,1662.08,2592.46,1853.26,2659.1
Glacier+National+Park,1135.46,1139.98,918.48,389.17,912.35,0,789.27,886.48,952.22,1029.37,2828.35,2393.62,1101.48,1924.99,2147.22,2289.18,1970.35,2645.65,1435,3051.74
Badlands+National+Park,1228.81,1026.09,1491.05,544.93,910.35,788.83,0,731.92,950.22,874.81,2119.93,1669.9,694.99,1216.57,1402.44,1580.77,1179.47,1937.23,958.34,2276.57
Arches+National+Park,716.95,320.42,1068.46,724.79,256.76,886.65,731.67,0,322.79,169.13,2598.4,1975.75,1478.45,1695.04,1708.28,1939.03,1485.32,2415.7,1676.49,2495.82
Zion+National+Park,498.42,213.67,934.04,790.72,72.35,952.59,949.93,322.55,0,232.59,2841.04,2112.89,1655.53,1937.68,1907.87,2181.67,1727.96,2658.34,1919.13,2612.69
Monument+valley+national+park,738.26,157.63,1251.82,867.69,278.02,1029.56,874.58,169.13,231.63,0,2741.31,1939.27,1621.35,1837.94,1734.25,2062.57,1624.44,2558.6,1819.4,2439.06
Acadia+national+park,3199.6,2891.05,3461.84,2676.4,2775.88,2832.41,2124.85,2599.23,2841.9,2742.12,0,1195.84,1499.57,919.2,1192.27,899.87,1353.34,376.16,1252.22,1928.65
Congaree+National+Park,2543.02,2017.01,2912.32,2201.14,2153.17,2395.95,1670.43,1976.53,2121.96,1949.29,1239.82,0,1433.67,599.07,205.12,368.97,484.53,1038.22,1286.89,782.63
Voyageurs+national+park,1900.29,1761.02,2071.32,1031.28,1615.76,1101.6,694.82,1466.85,1655.63,1609.73,1498.85,1431.42,0,962.78,1185.01,1326.98,1008.14,1591.8,403.18,2149.47
Cuyahoga+Valley+national+park,2295.24,1973.17,2557.48,1772.04,1871.52,1928.05,1220.49,1694.87,1937.55,1837.76,917.79,599.23,965.77,0,520.76,399.72,435.47,735.09,755.89,1378.12
Great+Smoky+Mountains+National+Park,2327.89,1801.88,2644.68,1933.51,1885.54,2149.49,1402.8,1708.89,1906.83,1734.17,1189.6,204.38,1187.2,520.13,0,337.94,216.9,988,1040.43,972.4
Shenandoah+national+park,2588.02,2141.74,2886.98,2147.97,2127.83,2303.98,1584.39,1951.18,2193.86,2074.02,910.87,381.74,1341.7,411.54,351.38,0,552.51,688.3,1167.59,1143.26
Mammoth+Cave+national+park,2123.31,1654.66,2422.27,1711.09,1663.12,1973.49,1180.38,1486.47,1729.14,1586.94,1350.47,485.05,1011.21,433.96,217.58,542.34,0,1125.72,864.43,1153.31
Cape+Cod+national+park,3016.53,2668.58,3278.77,2493.33,2592.81,2649.34,1941.78,2416.16,2658.83,2559.05,374.46,1040.37,1592.24,736.13,990.32,677.56,1127.17,0,1344.89,1724.49
Isle+Royale+national+park,2148.53,1972.71,2319.56,1279.52,1855.19,1435.53,959.11,1678.54,1921.21,1821.43,1252.53,1308.08,403.99,757.75,1119.47,1158.62,865.46,1345.47,0,2053.22
Dry+Tortugas+national+park,3028.05,2502.04,3580.87,2809.2,2653.37,3053.1,2278.49,2491.06,2606.98,2434.32,1918.7,783.46,2151.17,1378.92,973.59,1131.47,1153.95,1716.95,2004.08,0
